nome,idade,massa corporal,sexo
Ana Silva,25,62.5,F
Bruno Santos,30,78.0,M
Cesar Rodrigues,45,65.2,F
Diego Souza,22,75.5,M
Elena Pereira,35,58.0,F
Fabio Lima,40,82.3,M
Gabriela Costa,28,60.1,F
Hugo Ferreira,50,88.5,M
Isabel Alves,33,64.7,F
João Rodrigues,27,79.2,M
Karen Martins,31,63.4,F
Lucas Gomes,24,76.8,M
Mariana Ribeiro,38,61.5,F
Nicolas Cardoso,42,85.0,M
Olivia Dias,29,59.3,F
Pedro Almeida,36,80.1,M
Patricia Lopes,26,66.2,F
Rafael Mendes,48,90.5,M
Sofia Correia,32,57.8,F
Thiago Rocha,23,74.3,M
Ursula Vieira,39,68.9,F
Vinicius Castro,44,83.7,M
Wanessa Duarte,34,62.0,F
Xavier Nunes,51,87.4,M
Yasmin Teixeira,21,55.5,F
Anderson Barros,37,81.2,M
Beatriz Moraes,41,63.8,F
Carlos Pinto,46,86.1,M
Daniela Cunha,30,60.5,F
Eduardo Ramos,25,77.9,M
Fernanda Azevedo,33,64.3,F
Gabriel Neves,28,79.5,M
Helena Machado,47,67.0,F
Igor Freitas,35,84.2,M
Julia Santana,24,58.7,F
Kevin Araújo,29,76.4,M
Laura Carvalho,31,61.9,F
Marcelo Mendes,52,89.3,M
Natalia Borges,36,65.5,F
Otavio Teixeira,43,82.8,M
Priscila Moura,27,59.8,F
Ricardo Lopes,38,80.6,M
Sabrina Cardoso,32,63.1,F
Tiago Souza,45,85.9,M
Ubirajara Silva,55,91.2,M
Vanessa Oliveira,26,60.8,F
William Santos,34,78.3,M
Ximena Costa,39,66.4,F
Yuri Ferreira,22,73.5,M
Zuleica Alves,49,69.7,F
